Lucia;Balážová;830603/4346;2/1
Lukáš;Szabó;110517/0857;2/1
Karolína;Molnárová;400719/9590;2/1
Lenka;Nováková;050126/7697;2/1
Adam;Horváth;820802/3053;2/1
Zuzana;Tóthová;141008/6549;2/1
Peter;Horváth;160913/1763;2/1
Ján;Baláž;130903/4350;2/2
Petra;Vargová;480824/5013;2/2
Lukáš;Farkaš;721028/7213;2/2
Zuzana;Farkašová;570405/1983;2/2
Jana;Vargová;650823/7463;2/2
Petra;Farkašová;600315/3590;2/2
Andrea;Nagyová;821127/9518;2/2
Lukáš;Szabó;531116/0592;2/3
Martin;Varga;150330/8986;2/3
Andrej;Novák;271020/5158;2/3
Tomáš;Nagy;640527/7084;2/3
Adam;Varga;510301/6931;2/3
Adam;Kováč;040325/7221;2/3
Matúš;Varga;470524/5402;2/3
Andrea;Balážová;370411/1801;2/3
Andrej;Nagy;890526/8010;2/4
Lenka;Molnárová;190329/0456;2/4
Zuzana;Nagyová;091027/1308;2/4
Tomáš;Molnár;340317/2364;2/4
Matúš;Szabó;751222/4042;2/5
Martin;Tóth;130501/6873;2/5
Peter;Nagy;860823/6335;2/5
Ivana;Nagyová;571227/7194;2/5
Andrea;Horváthová;540714/4981;2/5
Ján;Szabó;180512/9755;2/5
Tomáš;Molnár;340425/4455;1
Michal;Farkaš;260116/3820;1
Adam;Kováč;970203/3387;1
Adam;Baláž;050829/0992;1
Karolína;Molnárová;340111/8496;1
Petra;Szabóová;330109/2632;1
Matúš;Nagy;250611/4856;1
Nema;Meno;690609/6969;1
Andrea;Vargová;970522/8547;4/1
Monika;Kováčová;140613/3238;4/1
Peter;Baláž;860119/1515;4/1
Lucia;Kováčová;861111/7162;4/1
Lenka;Vargová;921111/1760;4/1
Lucia;Szabóová;541028/9395;4/2
Michal;Horváth;040327/0329;4/2
Lenka;Molnárová;790227/5650;4/2
Tomáš;Tóth;580222/4471;4/2
Zuzana;Nagyová;290223/5016;4/2
Petra;Balážová;511022/1716;4/3
Monika;Horváthová;080927/6963;4/3
Veronika;Kováčová;470927/9460;4/3
Matúš;Szabó;340614/8422;4/3
Petra;Nováková;310730/6985;4/3
Adam;Baláž;391129/6017;4/3
Tomáš;Kováč;260706/4599;4/3
Andrej;Molnár;290828/7825;4/3
Tomáš;Varga;490430/3706;4/4
Adam;Kováč;161217/5703;4/4
Michal;Baláž;170526/7861;4/4
Michal;Molnár;490508/8875;4/4
Michal;Molnár;311115/5605;4/4
Jana;Szabóová;850831/0670;4/4
Jana;Szabóová;421223/5367;4/4
Marek;Nagy;191226/0947;4/5
Matúš;Molnár;980630/7506;4/5
Andrej;Novák;280119/2295;4/5
Ján;Farkaš;070926/2608;4/5
Michal;Tóth;760509/8296;4/5
Martin;Molnár;770919/4808;4/5
Lenka;Balážová;740124/5007;4/5
Monika;Balážová;941219/9484;4/5
Andrej;Tóth;360729/5264;3
Andrea;Balážová;731117/4848;3
Tomáš;Molnár;060921/0162;3
Martin;Baláž;790306/1354;3
Lenka;Vargová;600820/0313;3
Jana;Balážová;571002/9988;3
Ivana;Nováková;791218/2200;3
Karolína;Nagyová;920429/1684;3
Nema;Meno;690609/6969;3
Adam;Farkaš;650906/6460;6/1
Ján;Baláž;640630/3680;6/1
Matúš;Baláž;570929/8029;6/1
Karolína;Nováková;781229/4051;6/1
Lucia;Nováková;500810/2151;6/1
Monika;Vargová;140607/9484;6/1
Lukáš;Varga;321207/3800;6/1
Andrej;Nagy;350901/7074;6/1
Jana;Farkašová;490321/3532;6/2
Monika;Balážová;920228/7624;6/2
Ivana;Kováčová;981110/7036;6/2
Ivana;Molnárová;950108/2004;6/2
Tomáš;Baláž;500721/4779;6/2
Tomáš;Kováč;210428/4042;6/2
Lukáš;Varga;290621/2994;6/2
Andrej;Novák;410505/0002;6/2
Andrea;Kováčová;640210/9849;6/3
Ivana;Szabóová;500402/2735;6/3
Adam;Nagy;650415/1978;6/3
Lenka;Nagyová;791111/2818;6/3
Lucia;Horváthová;760602/3374;6/3
Petra;Balážová;000207/3206;6/3
Tomáš;Tóth;481126/2290;6/4
Karolína;Balážová;750306/8667;6/4
Jana;Kováčová;190903/3154;6/4
Petra;Balážová;221211/0188;6/4
Lenka;Kováčová;491122/2612;6/4
Tomáš;Szabó;750620/4894;6/4
Marek;Molnár;090224/1171;6/4
Martin;Horváth;770319/8848;6/4
Zuzana;Molnárová;770329/3246;6/5
Zuzana;Vargová;700808/7070;6/5
Ivana;Kováčová;671012/0583;6/5
Monika;Farkašová;731120/1390;6/5
Adam;Szabó;360530/5335;6/5
Martin;Baláž;670726/0596;6/5
Monika;Kováčová;221103/9207;5
Lukáš;Horváth;941204/3324;5
Martin;Kováč;220919/6521;5
Veronika;Szabóová;301017/9744;5
Jana;Tóthová;921126/7082;5
Nema;Meno;690609/6969;5
Lukáš;Szabó;750224/3572;8/1
Andrea;Horváthová;941127/8175;8/1
Karolína;Vargová;870702/7608;8/1
Matúš;Molnár;390225/9695;8/1
Marek;Tóth;190516/8762;8/1
Karolína;Tóthová;201023/2811;8/1
Tomáš;Nagy;760731/8607;8/1
Zuzana;Horváthová;940604/8405;8/1
Veronika;Nováková;180520/8984;8/2
Petra;Tóthová;611217/0692;8/2
Lenka;Farkašová;540626/8064;8/2
Marek;Nagy;130214/4932;8/2
Lukáš;Molnár;640121/2188;8/2
Jana;Vargová;890713/7883;8/3
Tomáš;Novák;571010/4531;8/3
Monika;Szabóová;220708/7246;8/3
Lucia;Kováčová;380515/4872;8/3
Karolína;Balážová;091025/9541;8/4
Jana;Vargová;630819/3289;8/4
Petra;Szabóová;421011/8241;8/4
Lucia;Horváthová;200511/7751;8/4
Martin;Horváth;180415/2243;8/4
Peter;Molnár;770930/1616;8/4
Monika;Szabóová;370307/5086;8/5
Lukáš;Szabó;400906/8583;8/5
Jana;Vargová;690328/3131;8/5
Peter;Varga;330220/2889;8/5
Lenka;Horváthová;580831/3790;8/5
Ján;Kováč;340718/0221;8/5
